Date,Title,img_path,Caption,Colours,Style,Subject,Keywords,Category,img_alt,Width,Height
2025-02-11,My friend asked me for a #scribble of some trams. Here's a practice. The problem with trams is they only stop for a couple of seconds then you have to sit there for ages until a similar one comes round,bafkreiebe4cdzj5eoovpgpf25yri6a3gcbe3pz4bepvd6ibquy22ihyb2u.jpg,,"(['Black/grey ink', 'Off-white paper', 'Background shows green and white (real tram)'],)","(['Urban sketching', 'Quick line drawing', 'Observational drawing', 'Loose gestural style'],)","('An urban transportation scene featuring a tram/streetcar stop with trees and street furniture, drawn in a quick sketch style capturing the essence of city life',)","['urban sketch', 'tram', 'streetcar', 'public transport', 'street scene', 'urban landscape', 'trees', 'city life', 'transportation', 'architectural drawing', 'line art', 'quick sketch', 'urban documentation', 'street furniture', 'perspective drawing']",Bsky,A pen and ink drawing of a Melbourne team,,
2025-02-11,Someone nicked a banana halfway through #officestilllife #scribble,bafkreiha44zujrbyr3m34rhjnksggnonx2pal3dhiiteu4zxfmfka5oswm.jpg,,"(['Black', 'Grey', 'White (paper)'],)","(['Observational sketch', 'Still life', 'Quick sketch', 'Loose drawing style', 'Naturalistic illustration'],)","('A segmented citrus fruit (likely an orange or mandarin) sitting in a small dish or plate, with the segments arranged in a fan-like pattern showing the natural division of the fruit',)","['fruit', 'citrus', 'orange', 'sketch', 'still life', 'food illustration', 'pencil drawing', 'monochrome', 'cross-hatching', 'kitchen art', 'food sketch', 'fruit study', 'plate', 'dish', 'segments']",Bsky,A pen sketch of a bowl of bananas ,,
2025-02-07,Book fair at the market #scribble,bafkreidykr2v3frrerxscpgn3jzmngtmhjm3o6bd2jbpometuuasuehxiy.jpg,,"(['Black', 'White', 'Grey (through shading)', 'Beige/brown (visible in background material)'],)","(['Urban sketch', 'Quick gestural drawing', 'Loose line work', 'Observational sketch', 'Minimalist'],)","('A casual workplace scene capturing a moment of someone at their station or counter, drawn in a spontaneous, observational style that suggests it was sketched from life',)","['urban sketch', 'workplace', 'counter', 'worker', 'service desk', 'line drawing', 'gestural', 'observational', 'quick sketch', 'interior scene', 'workplace study', 'black and white', 'pen drawing']",Bsky,A pen sketch on a postcard of a man setting up books on a table ,,
2025-02-04,Almost at the end of the sketchbook #officestilllife #scribble,bafkreihfimsrznttr4cak2dh7wgmymohgm2av4nehhbu5jhn2jolhq4fwi.jpg,,"(['Black', 'White', 'Various grey tones through shading'],)","(['Sketch art', 'Pen and ink drawing', 'Cross-hatching technique', 'Observational drawing', 'Still life'],)","('A sectioned citrus fruit (likely an orange or grapefruit) arranged on a simple round plate, depicted from a slightly elevated angle to show the internal segments and structure of the fruit',)","['sketch', 'citrus', 'fruit', 'still life', 'cross-hatching', 'ink drawing', 'food illustration', 'black and white', 'plate', 'kitchen art', 'culinary drawing', 'botanical illustration', 'monochrome', 'pen drawing']",Bsky,A black pen drawing of a bowl of bananas,,
2025-02-03,So much drama my pen ran out of ink #scribbles,bafkreig4pdhewhknafuwvdwjxrziqjh3bf7hckjsl4obs66v2kvfq7lxc4.jpg,,"(['Black', 'White/Off-white paper', 'Grey tones through line density'],)","(['Quick sketch', 'Life drawing', 'Gestural drawing', 'Observational art', 'Linear drawing'],)","('A figure in repose on a piece of furniture, captured in a casual, naturalistic pose suggesting a moment of rest or contemplation. The drawing emphasizes the natural curves and lines of the human form and the furniture.',)","['sketch', 'figure drawing', 'reclining figure', 'gesture drawing', 'pen art', 'life study', 'casual pose', 'relaxation', 'contour drawing', 'crosshatching', 'informal portrait', 'contemporary drawing']",Bsky,A woman sitting on a sofa with a phone to her ear ,,
2025-02-03,Shunning the bananas today #officestilllife #scribbles,bafkreianhrlqffrejkbypzl4ft443uchujn35bp3pyerwyvk3du3reogg4.jpg,,"(['Black', 'White', 'Various greyscale tones'],)","(['Sketch art', 'Still life', 'Monochromatic', 'Cross-hatching technique', 'Loose gestural drawing'],)","('A still life composition of round fruits in a shallow bowl or plate, drawn with an emphasis on form and light through tonal variation',)","['still life', 'fruit bowl', 'sketch', 'monochrome', 'hatching', 'cross-hatching', 'black and white', 'drawing', 'bowl', 'fruits', 'spherical forms', 'kitchen art', 'traditional drawing', 'pen sketch', 'study']",Bsky,A pen drawing of a bowl of peaches and plums,,
2025-02-02,My model ran away #scribble,bafkreibagajg422thxmsm3whnn62ljatqljenme2cftlxwtt3yzibooksa.jpg,,"(['Greyscale', 'White (paper)', 'Grey (pencil marks)', 'Light wooden tones (visible clipboard)'],)","(['Gesture drawing', 'Quick sketch', 'Life drawing', 'Observational drawing', 'Loose linear style'],)","('A casual figure study showing a person in repose on furniture, captured in a naturalistic, unposed moment. The drawing emphasizes the overall form and posture rather than detailed features.',)","['sketch', 'figure drawing', 'gesture', 'life drawing', 'pencil art', 'line drawing', 'casual pose', 'observational sketch', 'sitting figure', 'quick study', 'informal portrait', 'contemporary drawing']",Bsky,A scribble of a woman sitting on the couch looking at her phone,,
2025-01-28,Searching #scribble,bafkreicvajiu2xpie757fg73ryly6pscw5fydnmvjvo3f7mydth5v23xo4.jpg,,"(['Black', 'White/cream paper', 'Wooden table visible in background'],)","(['Gestural sketch', 'Quick observational drawing', 'Loose line work', 'Contemporary life drawing'],)","(['A sketch of someone in a casual seated position engaging with a digital device', 'Modern life observation', 'Daily moment captured in drawing'],)","['sketch', 'digital age', 'modern life', 'observational drawing', 'pen drawing', 'quick study', 'gesture drawing', 'technology', 'casual pose', 'contemporary scene', 'sketchbook art']",Bsky,A pen drawing of a woman sitting on the couch and using a tablet,340.0,453.0
2025-01-27,Should be illegal to move while I #scribble,bafkreibv5an37ukpotsuk6ozwz5bnqy36zpv5drj36iqpjyfhgpz5xgedy.jpg,,"(['Black', 'White (paper)', 'Grey (through shading)'],)","(['Observational sketch', 'Life drawing', 'Gestural drawing', 'Quick study', 'Linear sketch'],)","('A casual scene depicting a person at rest on a couch, captured in a spontaneous, observational style. The composition is informal and naturalistic, suggesting this was drawn from life.',)","['sketch', 'figure drawing', 'relaxed pose', 'casual scene', 'gestural', 'cross-hatching', 'life drawing', 'reclining figure', 'couch', 'informal portrait', 'observational art', 'black and white', 'quick study']",Bsky,Pen sketch of a woman lying on a couch and playing with her phone ,340.0,255.0
2025-01-27,Someone has desegregated the fruit bowls. Threw me off a bit. #officestilllife #scribble,bafkreicr5unhvjhowwbgslkcfbxfaycndnoun5mzsifvbxuzkw7waq4pxe.jpg,,"(['Black', 'White', 'Various shades of grey'],)","('Quick sketch/Still life drawing with an impressionistic quality, using gestural mark-making and cross-hatching techniques',)","('A traditional still life composition of a fruit bowl containing multiple pieces of fruit, depicted from a slightly elevated perspective on what appears to be a table or surface',)","['still life', 'sketch', 'fruit bowl', 'bananas', 'apples', 'cross-hatching', 'black and white', 'drawing', 'gestural', 'kitchen art', 'food illustration', 'traditional drawing', 'monochrome', 'produce', 'study']",Bsky,A pen drawing of an overflowing fruit bowl,340.0,260.0
